app_name,category,apple_app_id,apple_slug,countries,active,notes
ADP Mobile Solutions,business,444553167,adp-mobile-solutions,us,true,Apple US topfreeapplications chart seed
Disney+,entertainment,1446075923,disney,us,true,Rotated in for shallow high-potential depth test; current max OK page around 65
Costco,shopping,535509415,costco,us,true,Rotated in for shallow high-potential depth test; current max OK page around 77
Twitch: Live Streaming,photo_and_video,460177396,twitch-live-streaming,us,true,Rotated in for shallow high-potential depth test; current max OK page around 75
GroupMe,social_networking,392796698,groupme,us,true,Apple US topfreeapplications chart seed
Google Drive,productivity,507874739,google-drive,us,true,Rotated in for shallow high-potential depth test; current max OK page around 68
Chime® – Mobile Banking,finance,836215269,chime-mobile-banking,us,true,Apple US topfreeapplications chart seed
Southwest Airlines: Travel App,travel,344542975,southwest-airlines-travel-app,us,true,Rotated in for shallow high-potential depth test; current max OK page around 65
MLB Ballpark,sports,513135722,mlb-ballpark,us,true,Apple US topfreeapplications chart seed
PrizePicks - Sports Picks,sports,1437843273,prizepicks-sports-picks,us,true,Apple US topfreeapplications chart seed
Google Authenticator,utilities,388497605,google-authenticator,us,true,Apple US topfreeapplications chart seed
MONOPOLY GO!,games,1621328561,monopoly-go,us,true,Apple US topgrossingapplications chart seed
Royal Match,games,1482155847,royal-match,us,true,Apple US topgrossingapplications chart seed
Kingshot,games,6739554056,kingshot,us,true,Apple US topgrossingapplications chart seed
HBO Max: Stream Movies & TV,entertainment,1666653815,hbo-max-stream-movies-tv,us,true,Apple US topgrossingapplications chart seed
Gossip Harbor®: Merge & Story,games,1623318294,gossip-harbor-merge-story,us,true,Apple US topgrossingapplications chart seed
Candy Crush Saga,games,553834731,candy-crush-saga,us,true,Apple US topgrossingapplications chart seed
Whiteout Survival,games,6443575749,whiteout-survival,us,true,Apple US topgrossingapplications chart seed
Last War:Survival,games,6448786147,last-war-survival,us,true,Apple US topgrossingapplications chart seed
Crunchyroll,entertainment,329913454,crunchyroll,us,true,Apple US topgrossingapplications chart seed
YouTube Music,music,1017492454,youtube-music,us,true,Apple US topgrossingapplications chart seed
Tinder Dating App: Date & Chat,lifestyle,547702041,tinder-dating-app-date-chat,us,true,Apple US topgrossingapplications chart seed
Royal Kingdom,games,1606549505,royal-kingdom,us,true,Apple US topgrossingapplications chart seed
Township,games,638689075,township,us,true,Apple US topgrossingapplications chart seed
Pandora: Music & Podcasts,music,284035177,pandora-music-podcasts,us,true,Apple US topgrossingapplications chart seed
Last Z: Survival Shooter,games,6503272652,last-z-survival-shooter,us,true,Apple US topgrossingapplications chart seed
DRAGON BALL LEGENDS,games,1358222641,dragon-ball-legends,us,true,Apple US topgrossingapplications chart seed
Audible: Audiobooks & Podcasts,books,379693831,audible-audiobooks-podcasts,us,true,Apple US topgrossingapplications chart seed
Pokémon GO,games,1094591345,pokémon-go,us,true,Apple US topgrossingapplications chart seed
Hulu: Stream TV shows & movies,entertainment,376510438,hulu-stream-tv-shows-movies,us,true,Apple US topgrossingapplications chart seed
Grindr - Gay Dating & Chat,social_networking,319881193,grindr-gay-dating-chat,us,true,Apple US topgrossingapplications chart seed
Toon Blast,games,1176027022,toon-blast,us,true,Apple US topgrossingapplications chart seed
Hinge Dating App: Match & Date,lifestyle,595287172,hinge-dating-app-match-date,us,true,Apple US topgrossingapplications chart seed
Pixel Flow!,games,6751056652,pixel-flow,us,true,Apple US topgrossingapplications chart seed
PictureThis - Plant Identifier,education,1252497129,picturethis-plant-identifier,us,true,Apple US topgrossingapplications chart seed
Dropbox: Cloud Storage Backup,productivity,327630330,dropbox-cloud-storage-backup,us,true,Apple US topgrossingapplications chart seed
Tasty Travels: Merge Game,games,6471045672,tasty-travels-merge-game,us,true,Apple US topgrossingapplications chart seed
GameChanger,sports,1308415878,gamechanger,us,true,Apple US topgrossingapplications chart seed
Match Factory!,games,6449094229,match-factory,us,true,Apple US topgrossingapplications chart seed
Gardenscapes,games,1105855019,gardenscapes,us,true,Apple US topgrossingapplications chart seed
Love and Deepspace,games,6443467666,love-and-deepspace,us,true,Apple US topgrossingapplications chart seed
ReelShort - Stream Drama & TV,entertainment,1636235979,reelshort-stream-drama-tv,us,true,Apple US topgrossingapplications chart seed
Amazon Music: Songs & Podcasts,music,510855668,amazon-music-songs-podcasts,us,true,Apple US topgrossingapplications chart seed
Block Out! - Color Sort Puzzle,games,6752672568,block-out-color-sort-puzzle,us,true,Reached observed frontier in shallow-page test; rotated out
Facetune: Photo & Video Editor,photo_and_video,1149994032,facetune-photo-video-editor,us,true,Apple US topgrossingapplications chart seed
Free Fire: Undersea Mystery,games,1300146617,free-fire-undersea-mystery,us,true,Apple US topgrossingapplications chart seed
Coin Master,games,406889139,coin-master,us,true,Apple US topgrossingapplications chart seed
Homescapes: Match 3 Games,games,1195621598,homescapes-match-3-games,us,true,Apple US topgrossingapplications chart seed
Lightning Link Casino Slots,games,1243005112,lightning-link-casino-slots,us,true,Apple US topgrossingapplications chart seed
Merge Cooking®,games,1643509748,merge-cooking,us,true,Apple US topgrossingapplications chart seed
The Zeus Network,entertainment,1399446592,the-zeus-network,us,true,Apple US topgrossingapplications chart seed
Clash of Clans,games,529479190,clash-of-clans,us,true,Apple US topgrossingapplications chart seed
Jackpot Party - Casino Slots,games,575980917,jackpot-party-casino-slots,us,true,Apple US topgrossingapplications chart seed
SoundCloud: The Music You Love,music,336353151,soundcloud-the-music-you-love,us,true,Apple US topgrossingapplications chart seed
EA SPORTS FC Soccer Mobile 26,games,1094930513,ea-sports-fc-soccer-mobile-26,us,true,Apple US topgrossingapplications chart seed
Cleanup: Phone Storage Cleaner,utilities,1510944943,cleanup-phone-storage-cleaner,us,true,Apple US topgrossingapplications chart seed
All in Hole: Black Hole Games,games,6503284107,all-in-hole-black-hole-games,us,true,Apple US topgrossingapplications chart seed
"ViX: TV, Sports and News",entertainment,1531467766,vix-tv-sports-and-news,us,true,Apple US topgrossingapplications chart seed
Magic Sort!,games,6499209744,magic-sort,us,true,Apple US topgrossingapplications chart seed
Disney Solitaire,games,6475757306,disney-solitaire,us,true,Apple US topgrossingapplications chart seed
Fishdom,games,664575829,fishdom,us,true,Apple US topgrossingapplications chart seed
LADDER Strength Training Plans,health_and_fitness,1502936453,ladder-strength-training-plans,us,true,Apple US topgrossingapplications chart seed
Bumble Dating App: Meet & Date,lifestyle,930441707,bumble-dating-app-meet-date,us,true,Apple US topgrossingapplications chart seed
NYTimes: US and Global News,news,284862083,nytimes-us-and-global-news,us,true,Apple US topgrossingapplications chart seed
FaceApp: Perfect Face Editor,photo_and_video,1180884341,faceapp-perfect-face-editor,us,true,Apple US topgrossingapplications chart seed
Raya,lifestyle,957215308,raya,us,true,Reached observed frontier in shallow-page test; rotated out
Cashman Casino Slots Games,games,1123582513,cashman-casino-slots-games,us,true,Apple US topgrossingapplications chart seed
Wyze - Never Wonder,lifestyle,1288415553,wyze-never-wonder,us,true,Apple US topgrossingapplications chart seed
Total Battle: War Strategy,games,1274132545,total-battle-war-strategy,us,true,Apple US topgrossingapplications chart seed
DramaBox - Stream Drama Shorts,entertainment,6445905219,dramabox-stream-drama-shorts,us,true,Apple US topgrossingapplications chart seed
Blink Home Monitor,utilities,1013961111,blink-home-monitor,us,true,Apple US topgrossingapplications chart seed
NYT Games: Wordle & Crossword,games,307569751,nyt-games-wordle-crossword,us,true,Apple US topgrossingapplications chart seed
Travel Town - Merge Adventure,games,1521236603,travel-town-merge-adventure,us,true,Apple US topgrossingapplications chart seed
Call of Duty®: Mobile,games,1287282214,call-of-duty-mobile,us,true,Apple US topgrossingapplications chart seed
Flo Cycle & Period Tracker,health_and_fitness,1038369065,flo-cycle-period-tracker,us,true,Apple US topgrossingapplications chart seed
Perplexity - AI Search & Chat,productivity,1668000334,perplexity-ai-search-chat,us,true,Apple US topgrossingapplications chart seed
onX Hunt: GPS Hunting Maps,navigation,672902340,onx-hunt-gps-hunting-maps,us,true,Apple US topgrossingapplications chart seed
STARZ,entertainment,550221096,starz,us,true,Apple US topgrossingapplications chart seed
Screwdom,games,6740043080,screwdom,us,true,Apple US topgrossingapplications chart seed
"BIGO LIVE-Live Stream, Go Live",social_networking,1077137248,bigo-live-live-stream-go-live,us,true,Apple US topgrossingapplications chart seed
"Clapper: Video, Live, Chat",social_networking,1522122685,clapper-video-live-chat,us,true,Apple US topgrossingapplications chart seed
Acrobat Reader: PDF Editor,business,469337564,acrobat-reader-pdf-editor,us,true,Apple US topgrossingapplications chart seed
ESPN: Live Sports & Scores,sports,317469184,espn-live-sports-scores,us,true,Apple US topgrossingapplications chart seed
Feeld: Dating for the Curious,lifestyle,887914690,feeld-dating-for-the-curious,us,true,Apple US topgrossingapplications chart seed
Cleaner Guru: Clean Up Storage,utilities,1476380919,cleaner-guru-clean-up-storage,us,true,Apple US topgrossingapplications chart seed
Candy Crush Soda Saga,games,850417475,candy-crush-soda-saga,us,true,Apple US topgrossingapplications chart seed
Evony,games,1098157959,evony,us,true,Apple US topgrossingapplications chart seed
DramaWave - Dramas & Reels,entertainment,6670430706,dramawave-dramas-reels,us,true,Apple US topgrossingapplications chart seed
Dark War:Survival,games,6670441558,dark-war-survival,us,true,Apple US topgrossingapplications chart seed
"AllTrails: Hike, Bike & Run",health_and_fitness,405075943,alltrails-hike-bike-run,us,true,Apple US topgrossingapplications chart seed
Minecraft: Play with Friends!,games,479516143,minecraft-play-with-friends,us,true,Apple US toppaidapplications chart seed
Geometry Dash,games,625334537,geometry-dash,us,true,Apple US toppaidapplications chart seed
Shadowrocket,utilities,932747118,shadowrocket,us,true,Apple US toppaidapplications chart seed
Heads Up!,games,623592465,heads-up,us,true,Apple US toppaidapplications chart seed
HotSchedules,business,294934058,hotschedules,us,true,Apple US toppaidapplications chart seed
Plague Inc.,games,525818839,plague-inc,us,true,Apple US toppaidapplications chart seed
Red's First Flight,games,1596736236,reds-first-flight,us,true,Apple US toppaidapplications chart seed
Bloons TD 6,games,1118115766,bloons-td-6,us,true,Apple US toppaidapplications chart seed
Stardew Valley,games,1406710800,stardew-valley,us,true,Apple US toppaidapplications chart seed
RadarScope,weather,288419283,radarscope,us,true,Apple US toppaidapplications chart seed
Balatro,games,6502453075,balatro,us,true,Apple US toppaidapplications chart seed
AnkiMobile Flashcards,education,373493387,ankimobile-flashcards,us,true,Reached observed frontier in shallow-page test; rotated out
Papa's Freezeria To Go!,games,824305459,papas-freezeria-to-go,us,true,Apple US toppaidapplications chart seed
MONOPOLY: The Board Game,games,1477966166,monopoly-the-board-game,us,true,Apple US toppaidapplications chart seed
Scritchy Scratchy,games,6758328352,scritchy-scratchy,us,true,Reached observed frontier in shallow-page test; rotated out
Procreate Pocket,graphics_and_design,916366645,procreate-pocket,us,true,Apple US toppaidapplications chart seed
Backyard Baseball '01,games,6740349587,backyard-baseball-01,us,true,Reached observed frontier in shallow-page test; rotated out
SkyView®,education,404990064,skyview,us,true,Apple US toppaidapplications chart seed
